et%1:06:00:: , correct is target%1:09:00::
correct wsd for target.n.bnc.1447 target%1:10:00::
correct 6 | total 102
incorrect wsd for target.n.bnc.2771 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.8492 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.434 | found target%1:15:00:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.2905 | found target%2:33:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.8507 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.444 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2965 | found prey%1:18:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.8573 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.449 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.3030 | found target%2:33:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.8592 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.462 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3044 | found prey%1:18:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9133 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.464 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3049 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9186 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.470 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3057 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9244 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.489 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3173 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9304 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.494 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.3194 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9427 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3195 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9655 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.499 | found aim%1:09:01:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.3411 | found prey%1:18:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9776 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.512 | found target%1:06:00:: , correct is target%1:10:00::
incorrect wsd for target.n.bnc.3466 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9780 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.534 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3483 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.9866 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.538 | found target%1:15:00:: , correct is unlisted-sense
incorrect wsd for target.n.bnc.3486 | found target%1:06:00:: , correct is target%1:09:00::
linkup key target.n.Finance.9916 not found in gold standard clean dataset
incorrect wsd for target.n.Sports.552 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3500 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.10123 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.559 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3595 | found target%1:15:00:: , correct is target%1:06:00::
incorrect wsd for target.n.Finance.10480 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.566 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3635 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.10637 | found target%2:33:00:: , correct is target%1:09:00::
correct wsd for target.n.Sports.572 target%1:06:00::
correct 8 | total 231
incorrect wsd for target.n.Finance.10991 | found target%2:33:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.573 | found not found , correct is target%1:06:00::
incorrect wsd for target.n.bnc.3770 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.11115 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.585 | found target%1:15:00:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.3779 | found target%1:06:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.11336 | found target%1:15:00:: , correct is target%1:09:00::
linkup key target.n.Sports.587 not found in gold standard clean dataset
incorrect wsd for target.n.bnc.3804 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.11509 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.588 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3928 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.11724 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.589 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.3975 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.12043 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.599 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4068 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.12071 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.607 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4072 | found target%1:15:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.12145 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.609 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4158 | found prey%1:18:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.12214 | found target%2:33:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Sports.611 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4192 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.12260 | found not found , correct is target%1:09:00::
correct wsd for target.n.Sports.616 target%1:06:00::
correct 9 | total 260
incorrect wsd for target.n.bnc.4223 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.12530 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.627 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4277 | found target%1:15:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.12718 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.628 | found target%2:33:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4278 | found prey%1:18:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.12791 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.630 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4294 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.12928 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.631 | found target%1:06:00:: , correct is target%1:09:00::
correct wsd for target.n.bnc.4353 target%1:15:00::
correct 10 | total 273
incorrect wsd for target.n.Finance.12975 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.642 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4356 | found target%1:15:00:: , correct is target%1:06:00::
incorrect wsd for target.n.Finance.12994 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.644 | found target%1:15:00:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.4364 | found target%1:15:00:: , correct is target%1:06:00::
incorrect wsd for target.n.Finance.13125 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.646 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4371 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.13215 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.647 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4459 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.13339 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.665 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4469 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.13374 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.666 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.4692 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.13443 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.672 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.4720 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.13445 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.674 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for receiver.n.bnc.31 | found liquidator%1:18:00:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.1 | found receiver%1:18:02:: , correct is receiver%1:06:01::
correct wsd for receiver.n.Sports.1 receiver%1:18:02::
correct 11 | total 299
incorrect wsd for receiver.n.bnc.47 | found liquidator%1:18:00:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.2 | found receiver%1:18:02:: , correct is receiver%1:06:01::
correct wsd for receiver.n.Sports.2 receiver%1:18:02::
correct 12 | total 302
incorrect wsd for receiver.n.bnc.50 | found receiver%1:18:02:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.4 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
correct wsd for receiver.n.Sports.3 receiver%1:18:02::
correct 13 | total 305
incorrect wsd for receiver.n.bnc.56 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.5 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
correct wsd for receiver.n.Sports.4 receiver%1:18:02::
correct 14 | total 308
incorrect wsd for receiver.n.bnc.67 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.6 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
correct wsd for receiver.n.Sports.5 receiver%1:18:02::
correct 15 | total 311
incorrect wsd for receiver.n.bnc.68 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.7 | found receiver%1:18:02:: , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.6 receiver%1:18:02::
correct 16 | total 314
incorrect wsd for receiver.n.bnc.72 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.8 | found receiver%1:18:02:: , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.7 receiver%1:18:02::
correct 17 | total 317
incorrect wsd for receiver.n.bnc.73 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.9 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.8 receiver%1:18:02::
correct 18 | total 320
incorrect wsd for receiver.n.bnc.92 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Finance.10 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.9 receiver%1:18:02::
correct 19 | total 323
incorrect wsd for receiver.n.bnc.107 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.11 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.10 | found not found , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.109 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.12 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.11 receiver%1:18:02::
correct 20 | total 329
incorrect wsd for receiver.n.bnc.118 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.14 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.12 receiver%1:18:02::
correct 21 | total 332
incorrect wsd for receiver.n.bnc.131 | found liquidator%1:18:00:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.15 | found not found , correct is receiver%1:06:00::
correct wsd for receiver.n.Sports.13 receiver%1:18:02::
correct 22 | total 335
incorrect wsd for receiver.n.bnc.136 | found receiver%1:18:02:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.16 | found not found , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.14 | found liquidator%1:18:00:: , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.157 | found receiver%1:18:02:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.17 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.15 receiver%1:18:02::
correct 23 | total 341
incorrect wsd for receiver.n.bnc.170 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.18 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.16 receiver%1:18:02::
correct 24 | total 344
incorrect wsd for receiver.n.bnc.172 | found receiver%1:18:02:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.19 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.17 receiver%1:06:00::
correct 25 | total 347
incorrect wsd for receiver.n.bnc.188 | found telephone_receiver%1:06:00:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.20 | found not found , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.18 | found liquidator%1:18:00:: , correct is receiver%1:06:00::
correct wsd for receiver.n.bnc.203 receiver%1:06:00::
correct 26 | total 351
incorrect wsd for receiver.n.Finance.21 | found not found , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.19 | found not found , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.215 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.22 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.20 receiver%1:18:02::
correct 27 | total 356
incorrect wsd for receiver.n.bnc.216 | found receiver%1:18:02:: , correct is unlisted-sense
incorrect wsd for receiver.n.Finance.23 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.21 receiver%1:18:02::
correct 28 | total 359
incorrect wsd for receiver.n.bnc.250 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Finance.25 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.22 receiver%1:18:02::
correct 29 | total 362
incorrect wsd for receiver.n.bnc.287 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.26 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.23 receiver%1:18:02::
correct 30 | total 365
incorrect wsd for receiver.n.bnc.303 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.27 | found not found , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.25 | found not found , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.307 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.28 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.26 receiver%1:18:02::
correct 31 | total 371
incorrect wsd for receiver.n.bnc.311 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.29 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.27 receiver%1:18:02::
correct 32 | total 374
incorrect wsd for receiver.n.bnc.344 | found receiver%1:18:02:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.30 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.28 receiver%1:18:02::
correct 33 | total 377
incorrect wsd for receiver.n.bnc.348 | found receiver%1:18:02:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.31 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.29 receiver%1:18:02::
correct 34 | total 380
incorrect wsd for receiver.n.bnc.364 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.32 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
correct wsd for receiver.n.Sports.30 receiver%1:18:02::
correct 35 | total 383
incorrect wsd for receiver.n.bnc.416 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Finance.33 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.31 receiver%1:18:02::
correct 36 | total 386
incorrect wsd for receiver.n.bnc.441 | found receiver%1:18:02:: , correct is receiver%1:06:00::
incorrect wsd for receiver.n.Finance.34 | found not found , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.32 | found not found , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.447 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.35 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.33 receiver%1:18:02::
correct 37 | total 392
incorrect wsd for receiver.n.bnc.450 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.36 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.34 receiver%1:18:02::
correct 38 | total 395
incorrect wsd for receiver.n.bnc.454 | found receiver%1:06:00:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.37 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.35 receiver%1:18:02::
correct 39 | total 398
incorrect wsd for receiver.n.bnc.463 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Finance.38 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.36 receiver%1:18:02::
correct 40 | total 401
incorrect wsd for receiver.n.bnc.477 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.39 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.37 receiver%1:18:02::
correct 41 | total 404
incorrect wsd for receiver.n.bnc.478 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.41 | found not found , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.38 | found not found , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.486 | found receiver%1:18:02:: , correct is receiver%1:06:01::
incorrect wsd for receiver.n.Finance.42 | found not found , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.39 receiver%1:18:02::
correct 42 | total 410
incorrect wsd for receiver.n.bnc.512 | found receiver%1:18:02:: , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Finance.43 | found not found , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.40 | found not found , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.513 | found receiver%1:18:02:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.45 | found not found , correct is receiver%1:18:02::
correct wsd for receiver.n.Sports.41 receiver%1:18:02::
correct 43 | total 416
incorrect wsd for receiver.n.bnc.526 | found receiver%1:18:02:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.46 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
incorrect wsd for receiver.n.Sports.42 | found not found , correct is receiver%1:18:02::
incorrect wsd for receiver.n.bnc.531 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.47 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.43 receiver%1:18:02::
correct 44 | total 422
incorrect wsd for receiver.n.bnc.532 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.48 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.44 receiver%1:18:02::
correct 45 | total 425
incorrect wsd for receiver.n.bnc.533 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
incorrect wsd for receiver.n.Finance.49 | found liquidator%1:18:00:: , correct is receiver%1:18:01::
correct wsd for receiver.n.Sports.45 receiver%1:18:02::
correct 46 | total 428
incorrect wsd for receiver.n.bnc.543 | found liquidator%1:18:00:: , correct is receiver%1:18:00::
