|target.n.bnc.22|     target%1:10:00::
|target.n.Finance.9133|     target%1:10:00::
|target.n.Sports.464|     target%1:10:00::
|target.n.bnc.3049|     target%1:10:00::
|target.n.Finance.9186|     target%1:10:00::
|target.n.Sports.470|     target%1:10:00::
|target.n.bnc.3057|     target%1:10:00::
|target.n.Finance.9244|     target%1:10:00::
|target.n.Sports.489|     target%1:10:00::
|target.n.bnc.3173|     target%1:10:00::
|target.n.Finance.9304|     target%1:10:00::
|target.n.Sports.494|     target%1:10:00::
|target.n.bnc.3194|     target%1:10:00::
|target.n.Finance.9427|     not found
|target.n.Sports.498|     target%1:10:00::
|target.n.bnc.3195|     target%1:10:00::
|target.n.Finance.9655|     target%1:10:00::
|target.n.Sports.499|     target%1:10:00::
|target.n.bnc.3411|     target%1:10:00::
|target.n.Finance.9776|     target%1:10:00::
|target.n.Sports.512|     target%1:10:00::
|target.n.bnc.3466|     target%1:10:00::
|target.n.Finance.9780|     target%1:10:00::
|target.n.Sports.534|     target%1:10:00::
|target.n.bnc.3483|     target%1:10:00::
|target.n.Finance.9866|     not found
|target.n.Sports.538|     target%1:10:00::
|target.n.bnc.3486|     target%1:10:00::
|target.n.Finance.9916|     target%1:10:00::
|target.n.Sports.552|     target%1:10:00::
|target.n.bnc.3500|     target%1:10:00::
|target.n.Finance.10123|     not found
|target.n.Sports.559|     target%1:10:00::
|target.n.bnc.3595|     target%1:10:00::
|target.n.Finance.10480|     target%1:10:00::
|target.n.Sports.566|     target%1:10:00::
|target.n.bnc.3635|     target%1:10:00::
|target.n.Finance.10637|     target%1:10:00::
|target.n.Sports.572|     target%1:10:00::
|target.n.bnc.3762|     target%1:10:00::
|target.n.Finance.10991|     target%1:10:00::
|target.n.Sports.573|     not found
|target.n.bnc.3770|     target%1:10:00::
|target.n.Finance.11115|     target%1:10:00::
|target.n.Sports.585|     target%1:10:00::
|target.n.bnc.3779|     target%1:10:00::
|target.n.Finance.11336|     target%1:10:00::
|target.n.Sports.587|     target%1:10:00::
|target.n.bnc.3804|     target%1:10:00::
|target.n.Finance.11509|     target%1:10:00::
|target.n.Sports.588|     target%1:10:00::
|target.n.bnc.3928|     target%1:10:00::
|target.n.Finance.11724|     target%1:10:00::
|target.n.Sports.589|     target%1:10:00::
|target.n.bnc.3975|     target%1:10:00::
|target.n.Finance.12043|     target%1:10:00::
|target.n.Sports.599|     target%1:10:00::
|target.n.bnc.4068|     target%1:10:00::
|target.n.Finance.12071|     target%1:10:00::
|target.n.Sports.607|     target%1:10:00::
|target.n.bnc.4072|     target%1:10:00::
|target.n.Finance.12145|     target%1:10:00::
|target.n.Sports.609|     target%1:10:00::
|target.n.bnc.4158|     target%1:10:00::
|target.n.Finance.12214|     target%1:10:00::
|target.n.Sports.611|     target%1:10:00::
|target.n.bnc.4192|     target%1:10:00::
|target.n.Finance.12260|     not found
|target.n.Sports.616|     target%1:10:00::
|target.n.bnc.4223|     target%1:10:00::
|target.n.Finance.12530|     target%1:10:00::
|target.n.Sports.627|     not found
|target.n.bnc.4277|     target%1:10:00::
|target.n.Finance.12718|     target%1:10:00::
|target.n.Sports.628|     target%1:10:00::
|target.n.bnc.4278|     target%1:10:00::
|target.n.Finance.12791|     target%1:10:00::
|target.n.Sports.630|     target%1:10:00::
|target.n.bnc.4294|     target%1:10:00::
|target.n.Finance.12928|     target%1:10:00::
|target.n.Sports.631|     target%1:10:00::
|target.n.bnc.4353|     target%1:10:00::
|target.n.Finance.12975|     not found
|target.n.Sports.642|     target%1:10:00::
|target.n.bnc.4356|     target%1:10:00::
|target.n.Finance.12994|     target%1:10:00::
|target.n.Sports.644|     target%1:10:00::
|target.n.bnc.4364|     target%1:10:00::
|target.n.Finance.13125|     target%1:10:00::
|target.n.Sports.646|     target%1:10:00::
|target.n.bnc.4371|     target%1:10:00::
|target.n.Finance.13215|     target%1:10:00::
|target.n.Sports.647|     target%1:10:00::
|target.n.bnc.4459|     target%1:10:00::
|target.n.Finance.13339|     target%1:10:00::
|target.n.Sports.665|     target%1:10:00::
|target.n.bnc.4469|     target%1:10:00::
|target.n.Finance.13374|     target%1:10:00::
|target.n.Sports.666|     target%1:10:00::
|target.n.bnc.4692|     target%1:10:00::
|target.n.Finance.13443|     target%1:10:00::
|target.n.Sports.672|     target%1:10:00::
|target.n.bnc.4720|     target%1:10:00::
|target.n.Finance.13445|     not found
|target.n.Sports.674|     target%1:10:00::
|receiver.n.bnc.31|     receiver%1:06:00::
|receiver.n.Finance.1|     receiver%1:06:00::
|receiver.n.Sports.1|     receiver%1:06:00::
|receiver.n.bnc.47|     receiver%1:06:00::
|receiver.n.Finance.2|     receiver%1:06:00::
|receiver.n.Sports.2|     receiver%1:06:00::
|receiver.n.bnc.50|     receiver%1:06:00::
|receiver.n.Finance.4|     receiver%1:06:00::
|receiver.n.Sports.3|     receiver%1:06:00::
|receiver.n.bnc.56|     receiver%1:06:00::
|receiver.n.Finance.5|     receiver%1:06:00::
|receiver.n.Sports.4|     receiver%1:06:00::
|receiver.n.bnc.67|     receiver%1:06:00::
|receiver.n.Finance.6|     receiver%1:06:00::
|receiver.n.Sports.5|     receiver%1:06:00::
|receiver.n.bnc.68|     receiver%1:06:00::
|receiver.n.Finance.7|     receiver%1:06:00::
|receiver.n.Sports.6|     receiver%1:06:00::
|receiver.n.bnc.72|     receiver%1:06:00::
|receiver.n.Finance.8|     receiver%1:06:00::
|receiver.n.Sports.7|     receiver%1:06:00::
|receiver.n.bnc.73|     receiver%1:06:00::
|receiver.n.Finance.9|     not found
|receiver.n.Sports.8|     receiver%1:06:00::
|receiver.n.bnc.92|     receiver%1:06:00::
|receiver.n.Finance.10|     receiver%1:06:00::
|receiver.n.Sports.9|     receiver%1:06:00::
|receiver.n.bnc.107|     receiver%1:06:00::
|receiver.n.Finance.11|     receiver%1:06:00::
|receiver.n.Sports.10|     not found
|receiver.n.bnc.109|     receiver%1:06:00::
|receiver.n.Finance.12|     receiver%1:06:00::
|receiver.n.Sports.11|     receiver%1:06:00::
|receiver.n.bnc.118|     receiver%1:06:00::
|receiver.n.Finance.14|     not found
|receiver.n.Sports.12|     receiver%1:06:00::
|receiver.n.bnc.131|     receiver%1:06:00::
|receiver.n.Finance.15|     not found
|receiver.n.Sports.13|     receiver%1:06:00::
|receiver.n.bnc.136|     receiver%1:06:00::
|receiver.n.Finance.16|     not found
|receiver.n.Sports.14|     receiver%1:06:00::
|receiver.n.bnc.157|     receiver%1:06:00::
|receiver.n.Finance.17|     not found
|receiver.n.Sports.15|     receiver%1:06:00::
|receiver.n.bnc.170|     receiver%1:06:00::
|receiver.n.Finance.18|     not found
|receiver.n.Sports.16|     receiver%1:06:00::
|receiver.n.bnc.172|     receiver%1:06:00::
|receiver.n.Finance.19|     not found
|receiver.n.Sports.17|     receiver%1:06:00::
|receiver.n.bnc.188|     receiver%1:06:00::
|receiver.n.Finance.20|     not found
|receiver.n.Sports.18|     receiver%1:06:00::
|receiver.n.bnc.203|     receiver%1:06:00::
|receiver.n.Finance.21|     not found
|receiver.n.Sports.19|     not found
|receiver.n.bnc.215|     receiver%1:06:00::
|receiver.n.Finance.22|     not found
|receiver.n.Sports.20|     receiver%1:06:00::
|receiver.n.bnc.216|     receiver%1:06:00::
|receiver.n.Finance.23|     not found
|receiver.n.Sports.21|     receiver%1:06:00::
|receiver.n.bnc.250|     receiver%1:06:00::
|receiver.n.Finance.25|     not found
|receiver.n.Sports.22|     receiver%1:06:00::
|receiver.n.bnc.287|     receiver%1:06:00::
|receiver.n.Finance.26|     not found
|receiver.n.Sports.23|     receiver%1:06:00::
|receiver.n.bnc.303|     receiver%1:06:00::
|receiver.n.Finance.27|     not found
|receiver.n.Sports.25|     not found
|receiver.n.bnc.307|     receiver%1:06:00::
|receiver.n.Finance.28|     not found
|receiver.n.Sports.26|     receiver%1:06:00::
|receiver.n.bnc.311|     receiver%1:06:00::
|receiver.n.Finance.29|     not found
|receiver.n.Sports.27|     receiver%1:06:00::
|receiver.n.bnc.344|     receiver%1:06:00::
|receiver.n.Finance.30|     not found
|receiver.n.Sports.28|     receiver%1:06:00::
|receiver.n.bnc.348|     receiver%1:06:00::
|receiver.n.Finance.31|     not found
|receiver.n.Sports.29|     receiver%1:06:00::
|receiver.n.bnc.364|     receiver%1:06:00::
|receiver.n.Finance.32|     receiver%1:06:00::
|receiver.n.Sports.30|     receiver%1:06:00::
|receiver.n.bnc.416|     receiver%1:06:00::
|receiver.n.Finance.33|     not found
|receiver.n.Sports.31|     receiver%1:06:00::
|receiver.n.bnc.441|     receiver%1:06:00::
|receiver.n.Finance.34|     not found
|receiver.n.Sports.32|     not found
|receiver.n.bnc.447|     receiver%1:06:00::
|receiver.n.Finance.35|     not found
|receiver.n.Sports.33|     receiver%1:06:00::
|receiver.n.bnc.450|     receiver%1:06:00::
|receiver.n.Finance.36|     not found
|receiver.n.Sports.34|     receiver%1:06:00::
|receiver.n.bnc.454|     receiver%1:06:00::
|receiver.n.Finance.37|     not found
|receiver.n.Sports.35|     receiver%1:06:00::
|receiver.n.bnc.463|     receiver%1:06:00::
|receiver.n.Finance.38|     not found
|receiver.n.Sports.36|     receiver%1:06:00::
|receiver.n.bnc.477|     receiver%1:06:00::
|receiver.n.Finance.39|     not found
|receiver.n.Sports.37|     receiver%1:06:00::
|receiver.n.bnc.478|     receiver%1:06:00::
|receiver.n.Finance.41|     not found
|receiver.n.Sports.38|     not found
|receiver.n.bnc.486|     receiver%1:06:00::
|receiver.n.Finance.42|     not found
|receiver.n.Sports.39|     receiver%1:06:00::
|receiver.n.bnc.512|     receiver%1:06:00::
|receiver.n.Finance.43|     not found
|receiver.n.Sports.40|     not found
|receiver.n.bnc.513|     receiver%1:06:00::
|receiver.n.Finance.45|     not found
|receiver.n.Sports.41|     receiver%1:06:00::
|receiver.n.bnc.526|     receiver%1:06:00::
|receiver.n.Finance.46|     receiver%1:06:00::
|receiver.n.Sports.42|     not found
|receiver.n.bnc.531|     receiver%1:06:00::
|receiver.n.Finance.47|     receiver%1:06:00::
|receiver.n.Sports.43|     receiver%1:06:00::
|receiver.n.bnc.532|     receiver%1:06:00::
|receiver.n.Finance.48|     receiver%1:06:00::
|receiver.n.Sports.44|     receiver%1:06:00::
|receiver.n.bnc.533|     receiver%1:06:00::
|receiver.n.Finance.49|     receiver%1:06:00::
|receiver.n.Sports.45|     receiver%1:06:00::
|receiver.n.bnc.543|     receiver%1:06:00::
|receiver.n.Finance.50|     receiver%1:06:00::
|receiver.n.Sports.46|     receiver%1:06:00::
|receiver.n.bnc.544|     receiver%1:06:00::
|receiver.n.Finance.51|     receiver%1:06:00::
|receiver.n.Sports.47|     receiver%1:06:00::
|receiver.n.bnc.565|     receiver%1:06:00::
|receiver.n.Finance.52|     receiver%1:06:00::
|receiver.n.Sports.48|     receiver%1:06:00::
|receiver.n.bnc.568|     receiver%1:06:00::
|receiver.n.Finance.53|     receiver%1:06:00::
|receiver.n.Sports.49|     receiver%1:06:00::
|receiver.n.bnc.574|     receiver%1:06:00::
|receiver.n.Finance.54|     receiver%1:06:00::
|receiver.n.Sports.50|     receiver%1:06:00::
|receiver.n.bnc.585|     receiver%1:06:00::
|receiver.n.Finance.55|     receiver%1:06:00::
|receiver.n.Sports.52|     receiver%1:06:00::
|receiver.n.bnc.587|     receiver%1:06:00::
|receiver.n.Finance.56|     receiver%1:06:00::
|receiver.n.Sports.53|     receiver%1:06:00::
|receiver.n.bnc.589|     receiver%1:06:00::
|receiver.n.Finance.57|     receiver%1:06:00::
|receiver.n.Sports.54|     receiver%1:06:00::
|receiver.n.bnc.606|     receiver%1:06:00::
|receiver.n.Finance.58|     receiver%1:06:00::
|receiver.n.Sports.55|     receiver%1:06:00::
|receiver.n.bnc.636|     receiver%1:06:00::
|receiver.n.Finance.59|     receiver%1:06:00::
|receiver.n.Sports.56|     receiver%1:06:00::
|receiver.n.bnc.655|     receiver%1:06:00::
|receiver.n.Finance.60|     receiver%1:06:00::
|receiver.n.Sports.57|     receiver%1:06:00::
|receiver.n.bnc.664|     receiver%1:06:00::
|receiver.n.Finance.61|     receiver%1:06:00::
|receiver.n.Sports.58|     receiver%1:06:00::
|receiver.n.bnc.701|     receiver%1:06:00::
|receiver.n.Finance.62|     receiver%1:06:00::
|receiver.n.Sports.59|     receiver%1:06:00::
|receiver.n.bnc.706|     receiver%1:06:00::
|receiver.n.Finance.63|     receiver%1:06:00::
|receiver.n.Sports.60|     receiver%1:06:00::
|receiver.n.bnc.751|     receiver%1:06:00::
|receiver.n.Finance.64|     receiver%1:06:00::
|receiver.n.Sports.61|     receiver%1:06:00::
|receiver.n.bnc.761|     receiver%1:06:00::
|receiver.n.Finance.65|     receiver%1:06:00::
|receiver.n.Sports.62|     receiver%1:06:00::
|receiver.n.bnc.765|     receiver%1:06:00::
|receiver.n.Finance.66|     receiver%1:06:00::
|receiver.n.Sports.63|     receiver%1:06:00::
|receiver.n.bnc.773|     receiver%1:06:00::
|receiver.n.Finance.67|     receiver%1:06:00::
|receiver.n.Sports.64|     not found
|receiver.n.bnc.780|     receiver%1:06:00::
|receiver.n.Finance.68|     receiver%1:06:00::
|receiver.n.Sports.65|     not found
|receiver.n.bnc.786|     receiver%1:06:00::
|receiver.n.Finance.69|     receiver%1:06:00::
|receiver.n.Sports.66|     receiver%1:06:00::
|receiver.n.bnc.798|     receiver%1:06:00::
|receiver.n.Finance.70|     receiver%1:06:00::
|receiver.n.Sports.67|     receiver%1:06:00::
|receiver.n.bnc.837|     receiver%1:06:00::
|receiver.n.Finance.71|     receiver%1:06:00::
|receiver.n.Sports.68|     receiver%1:06:00::
|receiver.n.bnc.853|     receiver%1:06:00::
|receiver.n.Finance.72|     receiver%1:06:00::
|receiver.n.Sports.69|     receiver%1:06:00::
|receiver.n.bnc.858|     receiver%1:06:00::
|receiver.n.Finance.73|     receiver%1:06:00::
|receiver.n.Sports.70|     receiver%1:06:00::
|receiver.n.bnc.859|     receiver%1:06:00::
|receiver.n.Finance.74|     receiver%1:06:00::
|receiver.n.Sports.71|     receiver%1:06:00::
|receiver.n.bnc.875|     receiver%1:06:00::
|receiver.n.Finance.75|     receiver%1:06:00::
|receiver.n.Sports.72|     receiver%1:06:00::
|receiver.n.bnc.896|     receiver%1:06:00::
|receiver.n.Finance.76|     receiver%1:06:00::
|receiver.n.Sports.74|     receiver%1:06:00::
|receiver.n.bnc.909|     receiver%1:06:00::
|receiver.n.Finance.77|     receiver%1:06:00::
|receiver.n.Sports.75|     receiver%1:06:00::
|receiver.n.bnc.910|     receiver%1:06:00::
|receiver.n.Finance.78|     receiver%1:06:00::
|receiver.n.Sports.76|     receiver%1:06:00::
|receiver.n.bnc.912|     receiver%1:06:00::
|receiver.n.Finance.79|     receiver%1:06:00::
|receiver.n.Sports.77|     not found
|receiver.n.bnc.919|     receiver%1:06:00::
|receiver.n.Finance.80|     receiver%1:06:00::
|receiver.n.Sports.78|     receiver%1:06:00::
|receiver.n.bnc.927|     receiver%1:06:00::
|receiver.n.Finance.81|     receiver%1:06:00::
|receiver.n.Sports.79|     receiver%1:06:00::
|receiver.n.bnc.928|     receiver%1:06:00::
|receiver.n.Finance.82|     receiver%1:06:00::
|receiver.n.Sports.80|     not found
|receiver.n.bnc.940|     receiver%1:06:00::
|receiver.n.Finance.83|     receiver%1:06:00::
|receiver.n.Sports.81|     receiver%1:06:00::
|receiver.n.bnc.942|     receiver%1:06:00::
|receiver.n.Finance.84|     receiver%1:06:00::
|receiver.n.Sports.82|     receiver%1:06:00::
|receiver.n.bnc.946|     receiver%1:06:00::
|receiver.n.Finance.85|     receiver%1:06:00::
|receiver.n.Sports.83|     receiver%1:06:00::
|receiver.n.bnc.953|     receiver%1:06:00::
|receiver.n.Finance.87|     receiver%1:06:00::
|receiver.n.Sports.85|     receiver%1:06:00::
|receiver.n.bnc.985|     receiver%1:06:00::
|receiver.n.Finance.88|     receiver%1:06:00::
|receiver.n.Sports.86|     receiver%1:06:00::
|receiver.n.bnc.1002|     receiver%1:06:00::
|receiver.n.Finance.89|     receiver%1:06:00::
|receiver.n.Sports.88|     receiver%1:06:00::
|receiver.n.bnc.1027|     receiver%1:06:00::
|receiver.n.Finance.90|     receiver%1:06:00::
|receiver.n.Sports.89|     receiver%1:06:00::
|receiver.n.bnc.1042|     receiver%1:06:00::
|receiver.n.Finance.91|     receiver%1:06:00::
|receiver.n.Sports.90|     receiver%1:06:00::
|receiver.n.bnc.1047|     receiver%1:06:00::
|receiver.n.Finance.92|     receiver%1:06:00::
|receiver.n.Sports.91|     not found
|receiver.n.bnc.1048|     receiver%1:06:00::
|receiver.n.Finance.93|     receiver%1:06:00::
|receiver.n.Sports.92|     not found
|receiver.n.bnc.1061|     receiver%1:06:00::
|receiver.n.Finance.94|     not found
|receiver.n.Sports.93|     receiver%1:06:00::
|receiver.n.bnc.1062|     receiver%1:06:00::
|receiver.n.Finance.95|     not found
|receiver.n.Sports.94|     receiver%1:06:00::
|receiver.n.bnc.1063|     receiver%1:06:00::
|receiver.n.Finance.96|     not found
|receiver.n.Sports.95|     receiver%1:06:00::
|receiver.n.bnc.1069|     receiver%1:06:00::
|receiver.n.Finance.97|     receiver%1:06:00::
|receiver.n.Sports.96|     receiver%1:06:00::
|receiver.n.bnc.1076|     receiver%1:06:00::
|receiver.n.Finance.98|     not found
|receiver.n.Sports.97|     receiver%1:06:00::
|receiver.n.bnc.1094|     receiver%1:06:00::
|receiver.n.Finance.99|     not found
|receiver.n.Sports.98|     receiver%1:06:00::
|receiver.n.bnc.1100|     receiver%1:06:00::
|receiver.n.Finance.100|     not found
|receiver.n.Sports.99|     receiver%1:06:00::
|receiver.n.bnc.1103|     not found
|receiver.n.Finance.101|     not found
|receiver.n.Sports.102|     not found
|receiver.n.bnc.1108|     receiver%1:06:00::
|receiver.n.Finance.102|     not found
|receiver.n.Sports.103|     receiver%1:06:00::
|receiver.n.bnc.1109|     receiver%1:06:00::
|receiver.n.Finance.103|     not found
|receiver.n.Sports.104|     receiver%1:06:00::
|receiver.n.bnc.1123|     receiver%1:06:00::
|receiver.n.Sports.105|     receiver%1:06:00::
|receiver.n.bnc.1127|     receiver%1:06:00::
|receiver.n.Sports.106|     not found
|receiver.n.bnc.1136|     receiver%1:06:00::
|receiver.n.Sports.107|     receiver%1:06:00::
|top.n.bnc.65|     top%1:15:01::
|top.n.Finance.7|     top%1:15:01::
|top.n.Sports.27|     top%1:15:01::
|top.n.bnc.107|     top%1:15:01::
|top.n.Finance.70|     top%1:15:01::
|top.n.Sports.142|     top%1:15:01::
|top.n.bnc.196|     top%1:15:01::
|top.n.Finance.143|     top%1:15:01::
|top.n.Sports.229|     top%1:15:01::
|top.n.bnc.387|     top%1:15:01::
|top.n.Finance.164|     top%1:15:01::
|top.n.Sports.274|     top%1:15:01::
|top.n.bnc.415|     top%1:15:01::
|top.n.Finance.173|     top%1:15:01::
|top.n.Sports.540|     top%1:15:01::
|top.n.bnc.434|     top%1:15:01::
|top.n.Finance.210|     top%1:15:01::
|top.n.Sports.548|     top%1:15:01::
|top.n.bnc.474|     top%1:15:01::
|top.n.Finance.251|     top%1:15:01::
|top.n.Sports.551|     top%1:15:01::
|top.n.bnc.482|     top%1:15:01::
|top.n.Finance.384|     top%1:15:01::
|top.n.Sports.589|     top%1:15:01::
|top.n.bnc.546|     top%1:15:01::
|top.n.Finance.444|     top%1:15:01::
|top.n.Sports.596|     top%1:15:01::
|top.n.bnc.547|     top%1:15:01::
|top.n.Finance.461|     top%1:15:01::
|top.n.Sports.652|     top%1:15:01::
|top.n.bnc.551|     top%1:15:01::
|top.n.Finance.462|     top%1:15:01::
